EEID,Status,Age,Gender,Education Level,Hire Date,Termination Date,Termination Type,Termination Reason,Job Information: Date,Division,Department,Supervisor EID,Pay rate,Pay rate - Currency code,Compensation Change Reason,Stock Options,Level,Is Supervisor,Length of service,Length of service: Years
717,Active,44,Male,Master/Postgraduate,22 Feb 2021,,,,22 Feb 2021,Engineering,Ecosystems,236,42400,EUR,New hire,N,E2,No,"3 months, 6 days",0
709,Active,38,Male,Master/Postgraduate,22 Feb 2021,,,,15 Apr 2021,Engineering,Platform,521,42400,EUR,New hire,N,E3,No,"3 months, 6 days",0
730,Active,24,Male,Primary school,08 Mar 2021,,,,15 Apr 2021,Engineering,Corporate,267,42400,EUR,New hire,N,E3,No,"2 months, 20 days",0
741,Active,36,Male,Undergraduate degree (Grado),17 May 2021,,,,17 May 2021,Engineering,Teams & Enterprise,638,42400,EUR,New hire,N,E2,No,11 days,0
473,Inactive,27,Female,Unknown,09 Dec 2013,27 Oct 2017,Voluntary,Personal reasons,01 Jul 2016,Engineering,,,43200,EUR,,Y,,No,"3 years, 10 months, 18 days",3
413,Inactive,37,Male,Unknown,07 Jan 2014,11 Nov 2018,Voluntary,Other employment,05 Mar 2018,Engineering,Infrastructure,,43200,EUR,,Y,L3,No,"4 years, 10 months, 4 days",4
654,Inactive,28,Male,Undergraduate degree (Grado),24 Feb 2014,31 Aug 2016,Voluntary,,24 Feb 2014,Engineering,,,43200,EUR,,N,,No,"2 years, 6 months, 7 days",2
175,Active,30,Female,Master/Postgraduate,03 Jan 2017,,,,15 Apr 2021,Design,Product Design,168,43200,EUR,Promotion,Y,E3,No,"4 years, 4 months, 25 days",4
426,Inactive,42,Male,Technical degree (FP),07 Jan 2019,24 Apr 2019,Involuntary,Low Performance,07 Jan 2019,Engineering,Infrastructure,170,43200,EUR,,N,,No,"3 months, 17 days",0
710,Active,35,Male,Master/Postgraduate,21 Sep 2020,,,,21 Sep 2020,People & Home,People Talent,146,43200,EUR,New hire,N,E3,No,"8 months, 7 days",0
723,Active,40,Female,Master/Postgraduate,22 Feb 2021,,,,22 Feb 2021,Business Development,Sales,579,43200,USD,New hire,N,E2,No,"3 months, 6 days",0
397,Inactive,42,Female,Unknown,01 Jul 2013,12 Apr 2019,Voluntary,Limited career opportunities,01 Feb 2017,Engineering,,228,43560,EUR,,Y,,No,"5 years, 9 months, 11 days",5
478,Inactive,38,Male,Unknown,24 Oct 2013,31 Dec 2017,Voluntary,Other employment,24 Oct 2013,Engineering,Development,,44000,EUR,,Y,,No,"4 years, 2 months, 7 days",4
241,Inactive,29,Male,Unknown,18 Nov 2014,13 Dec 2019,Voluntary,Lack of strategy / direction,17 Jun 2019,Engineering,Core,246,44000,EUR,Promotion,Y,L3,No,"5 years, 25 days",5
432,Inactive,39,Female,Unknown,07 Apr 2015,29 Mar 2019,Voluntary,Ready for the next challenge,01 Mar 2018,Design,Product Design,,44000,EUR,,Y,L2,No,"3 years, 11 months, 22 days",3
376,Inactive,37,Male,Unknown,10 Oct 2016,09 Jun 2019,Voluntary,Lack of strategy / direction,01 Mar 2018,Design,Product Design,229,44000,EUR,,Y,L3,No,"2 years, 7 months, 30 days",2
143,Inactive,37,Female,Master/Postgraduate,12 Dec 2016,31 Dec 2019,Voluntary,Unhappy with the leadership,01 Mar 2019,Marketing,Lifecycle Marketing,269,44000,EUR,Merit increase,Y,M1,No,"3 years, 19 days",3
497,Inactive,39,Female,Unknown,02 Jan 2017,03 Apr 2018,Voluntary,Other employment,02 Jan 2017,Engineering,Development,,44000,EUR,,Y,,No,"1 year, 3 months, 1 day",1
322,Inactive,28,Male,Undergraduate degree (Grado),06 Nov 2017,28 Nov 2019,Voluntary,Unhappy with the manager,01 Mar 2019,Marketing,Paid Marketing,269,44000,EUR,,Y,M1,No,"2 years, 22 days",2
347,Inactive,47,Male,Master/Postgraduate,20 Nov 2017,31 Jan 2018,Involuntary,Low Performance,20 Nov 2017,Engineering,Development,,44000,EUR,,N,,No,"2 months, 11 days",0
188,Active,33,Male,Undergraduate degree (Grado),15 Oct 2018,,,,15 Apr 2021,Engineering,Platform,521,44000,EUR,Promotion,Y,E3,No,"2 years, 7 months, 13 days",2
180,Active,40,Male,Technical degree (FP),07 Jan 2019,,,,15 Apr 2021,Design,Creative Design,504,44000,EUR,New hire,Y,E3,No,"2 years, 4 months, 21 days",2
332,Inactive,36,Male,Unknown,21 Jan 2019,31 May 2019,Voluntary,Lack of strategy / direction,21 Jan 2019,Engineering,,,44000,EUR,,Y,L2,No,"4 months, 10 days",0
271,Active,27,Male,Undergraduate degree (Grado),15 Apr 2019,,,,15 Apr 2021,Engineering,Platform,521,44000,EUR,Promotion,Y,E3,No,"2 years, 1 month, 13 days",2
198,Inactive,26,Female,Unknown,17 Jun 2019,16 Oct 2020,Voluntary,Ready for the next challenge,01 Sep 2020,Engineering,Core,240,44000,EUR,Promotion,Y,E3,No,"1 year, 3 months, 29 days",1
320,Active,30,Female,Master/Postgraduate,08 Jul 2019,,,,15 Apr 2021,Data & Analytics,Data Platform,147,44000,EUR,Promotion,Y,E3,No,"1 year, 10 months, 20 days",1
209,Inactive,30,Female,Master/Postgraduate,01 Oct 2019,12 Jun 2020,Voluntary,Unhappy with the leadership,01 May 2020,Engineering,Platform,521,44000,EUR,Promotion,Y,E3,No,"8 months, 11 days",0
125,Active,36,Male,Undergraduate degree (Grado),25 Nov 2019,,,,14 Apr 2021,Customer Success,Customer Engagement,702,44000,USD,Lateral move,N,E1,No,"1 year, 6 months, 3 days",1
523,Inactive,37,Male,Technical degree (FP),09 Dec 2019,05 Feb 2020,Involuntary,Failing probation period,31 Jan 2020,Engineering,Funnel Health,264,44000,EUR,New hire,N,E2,No,"1 month, 27 days",0
503,Active,36,Male,Undergraduate degree (Grado),13 Jan 2020,,,,15 Apr 2021,Engineering,Insights,240,44000,EUR,Promotion,Y,E3,Yes,"1 year, 4 months, 15 days",1
538,Active,31,Male,Undergraduate degree (Grado),10 Feb 2020,,,,15 Apr 2021,Engineering,Conversations,542,44000,EUR,,N,E3,No,"1 year, 3 months, 18 days",1
564,Active,32,Male,Undergraduate degree (Grado),09 Mar 2020,,,,15 Apr 2021,Engineering,Journeys,508,44000,EUR,New hire,N,E3,No,"1 year, 2 months, 19 days",1
561,Active,36,Male,Undergraduate degree (Grado),09 Mar 2020,,,,15 Apr 2021,Engineering,Funnel Health,580,44000,EUR,New hire,N,E3,No,"1 year, 2 months, 19 days",1
558,Active,37,Male,Master/Postgraduate,01 Jul 2020,,,,15 Apr 2021,Customer Success,Community & Learning,220,44000,EUR,New hire,N,E3,Yes,"10 months, 27 days",0
643,Active,29,Male,Master/Postgraduate,13 Jul 2020,,,,22 May 2021,Engineering,Conversations,246,44000,EUR,New hire,N,E3,No,"10 months, 15 days",0
666,Active,30,Male,Undergraduate degree (Grado),21 Sep 2020,,,,15 Apr 2021,Engineering,R&D,664,44000,EUR,Contract change,N,E2,No,"8 months, 7 days",0
674,Active,35,Female,Master/Postgraduate,19 Oct 2020,,,,15 Apr 2021,People & Home,People Experience,305,44000,EUR,Reduce/Increase Working hours,N,E3,No,"7 months, 9 days",0
688,Active,35,Male,Undergraduate degree (Grado),01 Dec 2020,,,,15 Apr 2021,Engineering,Quality,164,44000,EUR,New hire,N,E3,No,"5 months, 27 days",0
689,Active,27,Male,Master/Postgraduate,14 Dec 2020,,,,01 Feb 2021,Engineering,Ecosystems,236,44000,EUR,Transfer,N,E3,No,"5 months, 14 days",0
699,Active,34,Male,Undergraduate degree (Grado),11 Jan 2021,,,,15 Feb 2021,Customer Success,Customer Support,624,44000,USD,New hire,N,E2,No,"4 months, 17 days",0
697,Active,36,Male,Master/Postgraduate,25 Jan 2021,,,,01 Apr 2021,People & Home,People Talent,146,44000,GBP,Contract change,N,E3,No,"4 months, 3 days",0
718,Active,28,Male,Undergraduate degree (Grado),22 Feb 2021,,,,18 May 2021,Engineering,Insights,503,44000,EUR,New hire,N,E2,No,"3 months, 6 days",0
779,Active,50,Female,Unknown,24 May 2021,,,,24 May 2021,Product,Corporate,721,44000,GBP,New hire,N,E3,No,4 days,0
149,Active,28,Male,Undergraduate degree (Grado),03 Sep 2018,,,,15 Apr 2021,Engineering,Insights,240,44560,EUR,Promotion,Y,E3,No,"2 years, 8 months, 25 days",2
360,Inactive,31,Male,Unknown,18 Jul 2016,10 Sep 2019,Voluntary,No details given,07 Aug 2019,Data & Analytics,,292,44800,EUR,,Y,L3,No,"3 years, 1 month, 23 days",3
231,Inactive,34,Male,Unknown,03 Jul 2017,26 Dec 2019,Voluntary,Other employment,17 Jun 2019,Engineering,Core,246,44800,EUR,,Y,L3,No,"2 years, 5 months, 23 days",2
150,Active,28,Male,High-school (Bachillerato),20 Aug 2018,,,,15 Apr 2021,Engineering,Funnel Health,309,44800,EUR,Promotion,Y,E3,No,"2 years, 9 months, 8 days",2
511,Active,34,Male,Undergraduate degree (Grado),13 Jan 2020,,,,15 Apr 2021,Engineering,Insights,240,44800,EUR,,N,E3,No,"1 year, 4 months, 15 days",1
665,Active,30,Male,Master/Postgraduate,21 Sep 2020,,,,15 Apr 2021,Data & Analytics,Machine Learning,181,44800,EUR,New hire,N,E2,No,"8 months, 7 days",0
131,Inactive,32,Male,Master/Postgraduate,16 Sep 2019,08 Jan 2021,Involuntary,Low Performance,01 Jan 2021,Engineering,Corporate,267,44880,EUR,Merit increase,N,E3,No,"1 year, 3 months, 22 days",1
275,Active,29,Male,Undergraduate degree (Grado),18 Feb 2019,,,,15 Apr 2021,Strategy,Strategy,148,45126,EUR,Promotion,Y,E3,No,"2 years, 3 months, 10 days",2
261,Active,27,Female,Master/Postgraduate,27 May 2019,,,,15 Apr 2021,Product,Core,304,45156,EUR,Merit increase,N,E2,No,"2 years, 1 day",2
177,Active,35,Male,Undergraduate degree (Grado),14 Oct 2019,,,,15 Apr 2021,Engineering,Platform,521,45344,EUR,Merit increase,N,E3,No,"1 year, 7 months, 14 days",1
192,Active,33,Female,Master/Postgraduate,02 Jan 2017,,,,15 Apr 2021,Engineering,Journeys,508,45452,EUR,Promotion,Y,E3,No,"4 years, 4 months, 26 days",4
314,Inactive,37,Male,Undergraduate degree (Grado),12 Dec 2016,05 Dec 2019,Voluntary,Ready for the next challenge,01 Mar 2018,Data & Analytics,Data Operations,292,45490,EUR,,Y,L3,No,"2 years, 11 months, 24 days",2
401,Inactive,35,Male,Unknown,05 Mar 2014,28 Feb 2019,Voluntary,Other employment,01 Mar 2018,Engineering,,,45600,EUR,,Y,M1,No,"4 years, 11 months, 23 days",4
414,Inactive,37,Male,Unknown,03 Aug 2015,04 Nov 2018,Voluntary,Unhappy with the manager,03 Aug 2015,Engineering,Development,,45600,EUR,,Y,L3,No,"3 years, 3 months, 1 day",3
335,Inactive,34,Female,Unknown,18 Jan 2016,04 Oct 2019,Voluntary,Ready for the next challenge,01 Mar 2019,Marketing,Product Marketing,269,45600,EUR,,Y,M1,No,"3 years, 8 months, 17 days",3
221,Inactive,37,Female,Undergraduate degree (Grado),23 Sep 2019,24 Mar 2020,Voluntary,Unhappy with the job,23 Sep 2019,People,People Experience,276,45600,EUR,,N,E3,No,"6 months, 1 day",0
510,Active,32,Female,Master/Postgraduate,13 Jan 2020,,,,25 May 2021,Marketing,Product Marketing,760,45600,EUR,,N,E3,No,"1 year, 4 months, 15 days",1
696,Active,37,Female,Undergraduate degree (Grado),11 Jan 2021,,,,15 Feb 2021,Customer Success,Customer Support,624,45600,USD,New hire,N,E2,No,"4 months, 17 days",0
199,Active,36,Male,Undergraduate degree (Grado),16 Sep 2019,,,,15 Apr 2021,Engineering,Platform,521,46200,EUR,Merit increase,N,E3,No,"1 year, 8 months, 12 days",1
409,Inactive,30,Male,Unknown,23 Nov 2015,27 Jul 2018,Voluntary,Other employment,23 Nov 2015,Engineering,Development,,46400,EUR,,Y,L3,No,"2 years, 8 months, 4 days",2
223,Active,41,Male,PhD,04 Jan 2016,,,,15 Apr 2021,Marketing,Content,224,46400,EUR,Promotion,Y,M2,Yes,"5 years, 4 months, 24 days",5
374,Inactive,34,Male,Unknown,08 Mar 2016,09 Jun 2019,Voluntary,Lack of strategy / direction,01 Mar 2019,Product,,229,46400,EUR,,Y,L2,No,"3 years, 3 months, 1 day",3
354,Inactive,33,Male,Unknown,18 Apr 2016,16 Aug 2019,Voluntary,Other employment,18 Apr 2016,Engineering,Platform,228,46400,EUR,,Y,L3,No,"3 years, 3 months, 28 days",3
189,Active,30,Male,Master/Postgraduate,11 Jul 2016,,,,15 Apr 2021,Engineering,Teams & Enterprise,638,46400,EUR,Merit increase,Y,E3,No,"4 years, 10 months, 17 days",4
348,Inactive,37,Female,Master/Postgraduate,18 Apr 2017,24 Jul 2019,Involuntary,Low Performance,18 Apr 2017,Home,,517,46400,EUR,,Y,L3,No,"2 years, 3 months, 6 days",2
352,Inactive,29,Male,Undergraduate degree (Grado),20 Aug 2018,23 Aug 2019,Voluntary,Other employment,17 Jun 2019,Engineering,Platform,228,46400,EUR,,Y,L3,No,"1 year, 3 days",1
267,Active,41,Male,Technical degree (FP),27 May 2019,,,,15 Apr 2021,Engineering,Corporate,245,46400,EUR,Promotion,Y,M1,Yes,"2 years, 1 day",2
557,Active,29,Male,Master/Postgraduate,09 Mar 2020,,,,15 Apr 2021,Engineering,Quality,164,46400,EUR,New hire,N,E3,No,"1 year, 2 months, 19 days",1
682,Active,36,Male,Master/Postgraduate,11 Jan 2021,,,,15 Apr 2021,Design,Product Design,168,46400,EUR,New hire,N,E3,No,"4 months, 17 days",0
695,Active,31,Male,Master/Postgraduate,11 Jan 2021,,,,15 Apr 2021,Engineering,Quality,595,46400,EUR,New hire,N,E3,Yes,"4 months, 17 days",0
234,Active,35,Female,Undergraduate degree (Grado),29 Apr 2015,,,,22 May 2021,Engineering,Conversations,246,46800,EUR,Merit increase,Y,E3,No,"6 years, 29 days",6
239,Inactive,33,Male,Unknown,04 Jul 2016,30 Apr 2020,Voluntary,Ready for the next challenge,17 Jun 2019,Engineering,Platform,245,47040,EUR,,Y,E3,No,"3 years, 9 months, 26 days",3
233,Inactive,32,Male,Unknown,08 Aug 2016,17 Jan 2020,Voluntary,Ready for the next challenge,17 Jun 2019,Engineering,Core,246,47040,EUR,Merit increase,Y,M0,No,"3 years, 5 months, 9 days",3
277,Active,35,Male,Undergraduate degree (Grado),04 Feb 2019,,,,15 Apr 2021,Design,Creative Design,504,47200,EUR,Merit increase,Y,M1,Yes,"2 years, 3 months, 24 days",2
732,Active,30,Male,Master/Postgraduate,22 Mar 2021,,,,15 Apr 2021,Marketing,Paid Marketing,544,47200,EUR,New hire,N,E3,No,"2 months, 6 days",0
164,Active,39,Male,Undergraduate degree (Grado),31 Oct 2016,,,,15 Apr 2021,Engineering,Quality,595,48000,EUR,Promotion,Y,M1,Yes,"4 years, 6 months, 28 days",4
216,Active,31,Male,Master/Postgraduate,14 Nov 2016,,,,22 May 2021,Engineering,Conversations,246,48000,EUR,Merit increase,Y,E3,No,"4 years, 6 months, 14 days",4
385,Inactive,40,Female,Unknown,14 Nov 2016,31 Jan 2019,Voluntary,Limited career opportunities,01 Sep 2017,Finance,FP&A,,48000,EUR,,Y,L4,No,"2 years, 2 months, 17 days",2
257,Inactive,48,Male,Unknown,05 Dec 2016,31 Dec 2019,Voluntary,Unhappy with the leadership,01 Mar 2018,Marketing,Marketing Ops,269,48000,EUR,,Y,L3,No,"3 years, 26 days",3
408,Inactive,50,Male,Unknown,03 Apr 2017,11 Oct 2018,Voluntary,Other employment,03 Apr 2017,Engineering,Development,,48000,EUR,,Y,M1,No,"1 year, 6 months, 8 days",1
176,Inactive,33,Female,Master/Postgraduate,11 Jun 2018,30 Jun 2020,Voluntary,Limited career opportunities,11 Jun 2018,Design,Product Design,168,48000,EUR,Merit increase,Y,E3,No,"2 years, 19 days",2
289,Active,32,Female,Master/Postgraduate,11 Jun 2018,,,,15 Apr 2021,Marketing,Lifecycle Marketing,544,48000,EUR,Promotion,Y,E3,No,"2 years, 11 months, 17 days",2
333,Inactive,42,Male,Undergraduate degree (Grado),07 Jan 2019,23 Oct 2019,Voluntary,Other employment,07 Jan 2019,Engineering,Platform,245,48000,EUR,New hire,Y,L3,No,"9 months, 16 days",0
264,Active,34,Male,Undergraduate degree (Grado),13 May 2019,,,,15 Apr 2021,Engineering,Funnel Health,595,48000,EUR,Promotion,Y,M1,Yes,"2 years, 15 days",2
146,Active,32,Male,Undergraduate degree (Grado),01 Oct 2019,,,,15 Apr 2021,People & Home,People Talent,305,48000,EUR,Merit increase,Y,M1,Yes,"1 year, 7 months, 27 days",1
127,Active,33,Male,Undergraduate degree (Grado),25 Nov 2019,,,,15 Apr 2021,Engineering,R&D,664,48000,EUR,Merit increase,N,E3,No,"1 year, 6 months, 3 days",1
500,Inactive,37,Male,Master/Postgraduate,13 Jan 2020,25 Nov 2020,Voluntary,Unhappy with the job,01 Sep 2020,Engineering,Core,236,48000,EUR,,N,E3,No,"10 months, 12 days",0
522,Active,45,Male,Master/Postgraduate,13 Jan 2020,,,,01 Jan 2021,Engineering,Platform,521,48000,EUR,,N,E3,No,"1 year, 4 months, 15 days",1
569,Active,43,Male,High-school (Bachillerato),06 Mar 2020,,,,01 Jan 2021,Engineering,Conversations,542,48000,EUR,New hire,N,E2,No,"1 year, 2 months, 22 days",1
578,Active,37,Female,Master/Postgraduate,06 Apr 2020,,,,29 Apr 2021,Marketing,Marketing Ops,725,48000,EUR,Reduce/Increase Working hours,N,E3,No,"1 year, 1 month, 22 days",1
572,Active,41,Male,Undergraduate degree (Grado),20 Apr 2020,,,,15 Apr 2021,Data & Analytics,Insights Enablers,283,48000,EUR,New hire,N,E3,No,"1 year, 1 month, 8 days",1
580,Active,35,Male,Master/Postgraduate,20 Apr 2020,,,,15 Apr 2021,Engineering,Funnel Health,595,48000,EUR,New hire,N,E3,Yes,"1 year, 1 month, 8 days",1
611,Active,30,Female,Undergraduate degree (Grado),02 Jun 2020,,,,19 Apr 2021,Marketing,Paid Marketing,760,48000,EUR,New hire,N,E3,Yes,"11 months, 26 days",0
619,Active,34,Male,Master/Postgraduate,02 Jun 2020,,,,15 Apr 2021,Marketing,Paid Marketing,544,48000,EUR,New hire,N,E3,No,"11 months, 26 days",0
606,Inactive,28,Male,Undergraduate degree (Grado),02 Jun 2020,04 Jan 2021,Voluntary,Unhappy with the job,01 Sep 2020,Data & Analytics,Customer Insights,247,48000,EUR,New hire,N,E3,No,"7 months, 2 days",0
627,Inactive,25,Female,Unknown,15 Jun 2020,19 Feb 2021,Voluntary,Lack of strategy / direction,01 Sep 2020,Business Development,Sales,579,48000,USD,Merit increase,N,E2,No,"8 months, 4 days",0
628,Inactive,36,Male,Master/Postgraduate,13 Jul 2020,28 Feb 2021,Voluntary,Unhappy with the job,01 Sep 2020,Product,Core,294,48000,EUR,New hire,N,E2,No,"7 months, 15 days",0
653,Active,33,Female,Undergraduate degree (Grado),27 Jul 2020,,,,15 Feb 2021,Customer Success,Customer Support,312,48000,USD,New hire,N,E2,No,"10 months, 1 day",0
662,Active,37,Male,Undergraduate degree (Grado),21 Sep 2020,,,,15 Apr 2021,Security,Security,507,48000,EUR,New hire,N,E3,No,"8 months, 7 days",0
667,Active,30,Male,Undergraduate degree (Grado),05 Oct 2020,,,,15 Apr 2021,Engineering,Platform,521,48000,EUR,New hire,N,E3,No,"7 months, 23 days",0
722,Active,44,Male,Secondary school (ESO),22 Feb 2021,,,,22 Feb 2021,Business Development,Sales,579,48000,USD,New hire,N,E2,No,"3 months, 6 days",0
719,Active,33,Male,Master/Postgraduate,08 Mar 2021,,,,08 Mar 2021,Engineering,Insights,240,48000,EUR,New hire,N,E3,No,"2 months, 20 days",0
745,Inactive,27,Female,Master/Postgraduate,06 Apr 2021,14 May 2021,Voluntary,Lack of strategy / direction,06 Apr 2021,Business Development,Sales,579,48000,USD,New hire,N,E2,No,"1 month, 8 days",0
750,Active,44,Male,Undergraduate degree (Grado),19 Apr 2021,,,,19 Apr 2021,Security,Security,507,48000,EUR,New hire,N,E3,No,"1 month, 9 days",0
777,Active,33,Male,Undergraduate degree (Grado),17 May 2021,,,,17 May 2021,Business Development,Sales,579,48000,USD,New hire,N,E2,No,11 days,0
772,Active,47,Male,High-school (Bachillerato),17 May 2021,,,,17 May 2021,Business Development,Sales,579,48000,USD,New hire,N,E2,No,11 days,0
219,Inactive,36,Female,Master/Postgraduate,25 Apr 2014,14 Apr 2021,Voluntary,Unhappy with the manager,01 Sep 2020,Customer Success,Customer Engagement,220,48400,EUR,Merit increase,Y,M2,No,"6 years, 11 months, 19 days",6
202,Active,35,Male,Technical degree (FP),21 Feb 2012,,,,15 Apr 2021,Engineering,Ecosystems,635,48800,EUR,Merit increase,Y,E3,No,"9 years, 3 months, 7 days",9
250,Inactive,33,Male,Unknown,19 Oct 2015,30 Apr 2020,Voluntary,Ready for the next challenge,01 Oct 2019,Engineering,Platform,245,48800,EUR,Merit increase,Y,M3,No,"4 years, 6 months, 11 days",4
531,Inactive,28,Male,Technical degree (FP),27 Jan 2020,12 Feb 2021,Voluntary,Unhappy with the salary / perks,01 Oct 2020,Data & Analytics,Data Platform,147,48800,EUR,Promotion,Y,E3,No,"1 year, 16 days",1
315,Inactive,38,Male,Unknown,11 Apr 2016,13 Oct 2020,Voluntary,Unhappy with the salary / perks,01 Sep 2020,Engineering,Platform,319,49140,EUR,Merit increase,Y,E3,No,"4 years, 6 months, 2 days",4
395,Inactive,37,Female,Unknown,22 Apr 2014,30 Mar 2018,Involuntary,Low Performance,01 Jan 2017,People,,,49600,EUR,,Y,,No,"3 years, 11 months, 8 days",3
279,Active,37,Female,Undergraduate degree (Grado),17 Dec 2018,,,,15 Apr 2021,Design,Creative Design,504,49600,EUR,Merit increase,Y,M1,Yes,"2 years, 5 months, 11 days",2
550,Inactive,33,Male,,18 Feb 2020,26 Feb 2021,Voluntary,Ready for the next challenge,01 Jan 2021,Engineering,Platform,521,49600,EUR,,N,E3,No,"1 year, 8 days",1
755,Active,40,Female,Master/Postgraduate,19 Apr 2021,,,,19 Apr 2021,Marketing,Brand Marketing,224,49600,EUR,New hire,N,E3,No,"1 month, 9 days",0
770,Active,39,Male,Master/Postgraduate,17 May 2021,,,,17 May 2021,Data & Analytics,Data Platform,147,49600,EUR,New hire,N,E3,No,11 days,0
369,Inactive,39,Male,Unknown,02 May 2017,30 Jun 2019,Voluntary,Ready for the next challenge,01 Sep 2018,Data & Analytics,,283,50200,EUR,,Y,L3,No,"2 years, 1 month, 28 days",2
330,Inactive,30,Male,Unknown,05 Sep 2016,31 Oct 2019,Voluntary,Ready for the next challenge,05 Aug 2019,Product,,229,50400,EUR,,Y,L2,No,"3 years, 1 month, 26 days",3
230,Active,35,Female,Master/Postgraduate,19 Feb 2018,,,,15 Apr 2021,Marketing,Brand Marketing,224,50400,EUR,Promotion,Y,E4,No,"3 years, 3 months, 9 days",3
268,Active,43,Male,Undergraduate degree (Grado),01 Apr 2019,,,,15 Apr 2021,Product,Partnerships,704,50400,EUR,Merit increase,N,E2,No,"2 years, 1 month, 27 days",2
575,Active,33,Male,Undergraduate degree (Grado),06 Apr 2020,,,,15 Apr 2021,Data & Analytics,Data Platform,147,50400,EUR,New hire,N,E2,No,"1 year, 1 month, 22 days",1
678,Active,38,Male,Master/Postgraduate,11 Jan 2021,,,,15 Apr 2021,Customer Success,Customer Support,266,50400,EUR,New hire,N,E4,Yes,"4 months, 17 days",0
720,Active,32,Male,Undergraduate degree (Grado),08 Mar 2021,,,,15 Apr 2021,Data & Analytics,Data Platform,147,50400,EUR,New hire,N,E2,No,"2 months, 20 days",0
290,Inactive,33,Male,Unknown,19 Mar 2018,31 Dec 2019,Voluntary,Sabbatical leave,17 Jun 2019,Engineering,Funnel Health,228,50715,EUR,Merit increase,Y,M1,No,"1 year, 9 months, 12 days",1
184,Active,32,Male,Undergraduate degree (Grado),07 Nov 2016,,,,15 Apr 2021,Engineering,Journeys,508,50752,EUR,Merit increase,Y,E3,No,"4 years, 6 months, 21 days",4
169,Active,38,Female,Master/Postgraduate,07 Nov 2016,,,,15 Apr 2021,Engineering,Journeys,508,50785,EUR,Merit increase,Y,E3,No,"4 years, 6 months, 21 days",4
514,Active,36,Male,Master/Postgraduate,13 Jan 2020,,,,15 Apr 2021,Engineering,Teams & Enterprise,638,51000,EUR,Promotion,N,E3,No,"1 year, 4 months, 15 days",1
400,Inactive,36,Male,Unknown,01 Jul 2013,28 Feb 2019,Voluntary,Other employment,01 Mar 2017,Engineering,Development,,51200,EUR,,Y,M1,No,"5 years, 7 months, 27 days",5
444,Inactive,34,Female,Unknown,13 Oct 2014,04 Nov 2018,Voluntary,Other employment,01 Mar 2018,Engineering,,,51200,EUR,,Y,L3,No,"4 years, 22 days",4
353,Inactive,40,Male,Master/Postgraduate,27 Nov 2017,30 Apr 2019,Involuntary,Low Performance,27 Nov 2017,Product,,,51200,EUR,,Y,L4,No,"1 year, 5 months, 3 days",1
187,Active,34,Male,Master/Postgraduate,01 Oct 2019,,,,15 Apr 2021,Data & Analytics,Customer Insights,247,51240,EUR,Merit increase,N,E3,No,"1 year, 7 months, 27 days",1
243,Active,36,Male,Master/Postgraduate,02 May 2016,,,,22 May 2021,Engineering,Conversations,246,51584,EUR,Merit increase,Y,E3,No,"5 years, 26 days",5
190,Active,33,Male,Master/Postgraduate,13 Apr 2015,,,,15 Apr 2021,R&D,Creative Design,299,52000,EUR,,Y,M3,No,"6 years, 1 month, 15 days",6
286,Active,31,Male,Undergraduate degree (Grado),30 Apr 2018,,,,15 Apr 2021,Data & Analytics,Data Platform,147,52000,EUR,Promotion,Y,E3,No,"3 years, 28 days",3
562,Active,52,Male,Undergraduate degree (Grado),09 Mar 2020,,,,15 Apr 2021,Security,Security,507,52000,EUR,New hire,N,E3,No,"1 year, 2 months, 19 days",1
631,Active,35,Male,Undergraduate degree (Grado),01 Jul 2020,,,,15 Apr 2021,Engineering,Funnel Health,556,52000,EUR,New hire,N,E3,No,"10 months, 27 days",0
638,Active,31,Male,Technical degree (FP),13 Jul 2020,,,,15 Apr 2021,Engineering,Teams & Enterprise,246,52000,EUR,New hire,N,M1,Yes,"10 months, 15 days",0
664,Active,37,Male,Master/Postgraduate,24 Aug 2020,,,,15 Apr 2021,Engineering,R&D,246,52000,EUR,New hire,N,M1,Yes,"9 months, 4 days",0
669,Active,27,Male,Undergraduate degree (Grado),02 Nov 2020,,,,15 Apr 2021,Product,Funnel Health,285,52000,EUR,New hire,N,E2,No,"6 months, 26 days",0
693,Inactive,37,Male,Undergraduate degree (Grado),08 Feb 2021,08 Apr 2021,Involuntary,Failing probation period,08 Feb 2021,Design,Product Design,168,52000,EUR,Contract change,N,E3,No,"2 months, 0 days",0
738,Active,29,Male,Master/Postgraduate,06 Apr 2021,,,,06 Apr 2021,Data & Analytics,Customer Insights,151,52000,EUR,New hire,N,E3,No,"1 month, 22 days",0
235,Inactive,31,Male,Unknown,15 Dec 2014,31 Jul 2020,Voluntary,Unhappy with the leadership,17 Jun 2019,Engineering,Platform,245,52400,EUR,Merit increase,Y,E3,No,"5 years, 7 months, 16 days",5
135,Active,34,Female,Undergraduate degree (Grado),26 Feb 2018,,,,01 May 2021,Customer Success,Customer Support,678,52668,USD,Merit increase,Y,E2,No,"3 years, 3 months, 2 days",3
375,Inactive,37,Male,Unknown,09 Feb 2011,10 Jun 2019,Voluntary,Ready for the next challenge,09 Feb 2011,Engineering,Development,228,52800,EUR,,Y,L2,No,"8 years, 4 months, 1 day",8
496,Inactive,30,Male,Unknown,11 Feb 2014,25 Nov 2018,Voluntary,Other employment,01 Mar 2018,Product,,,52800,EUR,,Y,M1,No,"4 years, 9 months, 14 days",4
